repo_name,file_path,method_name,start_line,end_line,cc,lloc,difficulty,smell_label,coverage_percent,coverage_bucket,risk_category,recommendations
attrs,src/attr/validators.py,__call__,138,151,3,5,0.5,LOW,28.57,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/validators.py,__call__,204,217,3,5,0.5,LOW,28.57,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/validators.py,__call__,372,380,4,6,0.5,LOW,55.56,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__call__,576,587,3,5,0.5,LOW,33.33,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__call__,625,640,3,7,0.0,LOW,37.5,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__call__,375,384,3,7,0.0,LOW,60.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__call__,1565,1571,3,7,0.5,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__call__,254,258,3,4,0.5,LOW,80.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__call__,287,300,3,8,1.0,LOW,57.14,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__call__,727,731,3,5,0.5,LOW,20.0,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/_make.py,__call__,3057,3059,3,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__call__,95,111,3,5,0.5,LOW,23.53,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/utils.py,__contains__,486,488,2,3,0.5,LOW,66.67,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__contains__,321,322,3,2,1.2,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__delitem__,532,542,2,8,0.0,LOW,9.09,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/runtime.py,__eq__,872,873,2,2,0.5,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_version_info.py,__eq__,70,76,3,6,0.5,LOW,85.71,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/nodes.py,__eq__,238,242,5,4,1.0,LOW,60.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__ge__,1925,1932,3,5,1.3333333333333333,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__getattr__,980,981,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__getattr__,855,859,2,4,0.5,LOW,80.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/__init__.py,__getattr__,81,129,1,29,4.166666666666667,HIGH,51.02,MEDIUM,Refactor Candidate,Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/utils.py,__getattribute__,742,749,2,7,0.5,LOW,62.5,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__getitem__,126,128,2,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__getitem__,497,517,2,11,1.0,LOW,38.1,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__getitem__,324,333,3,6,0.5,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__getnewargs__,453,454,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__getstate__,2935,2939,3,3,0.0,LOW,40.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__getstate__,442,447,2,3,0.0,LOW,33.33,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__getstate__,2709,2716,3,3,0.5,LOW,25.0,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/_make.py,__gt__,1916,1923,3,5,1.3333333333333333,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__hash__,878,879,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__html__,977,978,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/filters.py,__html__,37,38,2,2,0.0,LOW,0.0,ZERO,Low Value,Add basic smoke tests to ensure execution paths are covered; Increase coverage by adding input boundary tests
jinja2,src/jinja2/environment.py,__html__,1541,1542,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/sandbox.py,__init__,252,256,4,5,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,docs/examples/cache_extension.py,__init__,9,13,3,3,0.0,LOW,0.0,ZERO,Low Value,Add basic smoke tests to ensure execution paths are covered; Increase coverage by adding input boundary tests
jinja2,src/jinja2/utils.py,__init__,723,725,3,3,0.0,LOW,33.33,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__init__,738,740,2,4,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__init__,692,696,2,5,0.5,LOW,80.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/bccache.py,__init__,53,57,2,5,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__init__,428,432,2,7,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/sandbox.py,__init__,410,412,3,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/exceptions.py,__init__,89,92,2,4,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/bccache.py,__init__,204,210,5,5,0.5,LOW,57.14,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/loaders.py,__init__,178,189,6,6,1.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__init__,477,594,14,19,1.25,HIGH,14.41,LOW,Hidden Risk,Write tests immediately before modifying this code; Increase coverage by adding input boundary tests; Add branch and conditional path tests due to high cyclomatic complexity
jinja2,src/jinja2/lexer.py,__init__,323,335,2,9,0.0,LOW,61.54,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__init__,300,301,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__init__,257,261,2,3,0.0,LOW,60.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/idtracking.py,__init__,235,236,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/idtracking.py,__init__,175,176,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__init__,292,366,4,29,0.0,HIGH,37.33,MEDIUM,Refactor Candidate,Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/loaders.py,__init__,271,328,9,37,2.8,HIGH,55.17,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/idtracking.py,__init__,31,44,4,15,1.5,LOW,71.43,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__init__,1561,1563,3,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__init__,1585,1587,4,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/ext.py,__init__,740,746,5,5,0.0,LOW,71.43,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/exceptions.py,__init__,10,11,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/exceptions.py,__init__,30,47,3,10,0.5,LOW,55.56,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/exceptions.py,__init__,65,85,6,13,1.0,LOW,57.14,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/exceptions.py,__init__,91,106,4,8,0.0,LOW,43.75,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/ext.py,__init__,88,89,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__init__,1521,1539,3,8,0.5,LOW,36.84,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__init__,811,821,2,5,0.0,LOW,45.45,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/loaders.py,__init__,413,414,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/loaders.py,__init__,488,492,3,3,0.0,LOW,60.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__init__,658,685,6,16,1.0,LOW,42.86,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__init__,2931,2933,3,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/compiler.py,__init__,168,217,2,20,0.5,LOW,34.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/compiler.py,__init__,255,257,2,5,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__init__,401,421,2,7,0.0,LOW,28.57,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/runtime.py,__init__,342,352,3,5,0.0,LOW,45.45,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/compiler.py,__init__,277,279,3,4,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/compiler.py,__init__,301,372,4,38,0.5,HIGH,40.28,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/loaders.py,__init__,446,457,3,2,0.0,LOW,16.67,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/runtime.py,__init__,163,182,3,13,0.5,LOW,45.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/parser.py,__init__,51,72,5,16,0.0,LOW,59.09,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/optimizer.py,__init__,27,28,4,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/nodes.py,__init__,1074,1078,2,2,0.0,LOW,20.0,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/nodes.py,__init__,127,143,5,14,1.0,LOW,52.94,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/nodes.py,__init__,74,82,2,7,0.0,LOW,66.67,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/meta.py,__init__,17,19,3,4,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/loaders.py,__init__,603,625,3,10,1.0,LOW,39.13,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/loaders.py,__init__,550,551,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__init__,123,124,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/compiler.py,__init__,158,162,2,5,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/bccache.py,__init__,374,384,4,5,0.0,LOW,45.45,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/ext.py,__init__,257,267,7,4,0.0,LOW,36.36,MEDIUM,Safe Zone,No immediate testing action required
itsdangerous,src/itsdangerous/exc.py,__init__,15,17,2,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_compat.py,__init__,36,40,4,5,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
itsdangerous,src/itsdangerous/signer.py,__init__,120,164,4,24,2.142857142857143,LOW,37.78,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_cmp.py,__init__,107,111,1,3,0.0,LOW,40.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__init__,707,797,6,42,4.717391304347826,HIGH,46.15,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
itsdangerous,src/itsdangerous/signer.py,__init__,49,53,3,5,0.5,LOW,80.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__init__,2842,2877,3,18,0.5,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
itsdangerous,src/itsdangerous/serializer.py,__init__,89,128,3,24,1.9090909090909087,LOW,42.5,MEDIUM,Safe Zone,No immediate testing action required
itsdangerous,src/itsdangerous/exc.py,__init__,102,107,2,4,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
itsdangerous,src/itsdangerous/exc.py,__init__,75,90,2,6,0.0,LOW,6.25,LOW,Low Value,Increase coverage by adding input boundary tests
itsdangerous,src/itsdangerous/exc.py,__init__,42,58,2,3,0.0,LOW,17.65,LOW,Low Value,Increase coverage by adding input boundary tests
itsdangerous,src/itsdangerous/exc.py,__init__,26,34,2,4,0.0,LOW,33.33,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__init__,2602,2655,3,20,0.5,LOW,37.04,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/ext.py,__init_subclass__,75,76,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__iter__,303,304,2,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__iter__,337,338,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__iter__,551,552,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__iter__,948,950,2,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__iter__,887,888,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__iter__,1658,1659,4,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__iter__,558,559,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__le__,1907,1914,3,5,1.3333333333333333,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__len__,884,885,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__len__,446,447,2,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__len__,490,492,2,3,0.0,LOW,66.67,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_version_info.py,__lt__,78,86,3,6,0.5,LOW,66.67,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__lt__,1898,1905,3,5,1.3333333333333333,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__ne__,875,876,2,2,0.5,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__ne__,1827,1836,1,6,1.5,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/nodes.py,__new__,57,66,6,10,1.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__new__,1161,1208,3,3,0.0,LOW,6.25,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/lexer.py,__new__,459,460,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__next__,1661,1662,4,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__next__,554,564,2,10,1.0,LOW,81.82,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__next__,378,393,2,11,0.5,LOW,62.5,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__next__,306,314,2,7,0.5,LOW,77.78,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__reduce__,94,95,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/exceptions.py,__reduce__,131,136,4,2,0.0,LOW,33.33,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,642,648,3,2,0.0,LOW,28.57,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/validators.py,__repr__,219,220,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/filters.py,__repr__,1167,1168,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,260,261,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__repr__,784,786,6,3,0.5,LOW,33.33,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__repr__,335,336,3,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,346,347,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__repr__,1507,1512,3,6,0.5,LOW,16.67,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/validators.py,__repr__,382,391,4,3,0.5,LOW,30.0,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/environment.py,__repr__,1547,1552,3,6,0.5,LOW,16.67,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/validators.py,__repr__,428,431,3,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,464,465,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__repr__,754,755,2,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,528,529,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__repr__,897,898,2,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,556,557,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__repr__,69,70,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__repr__,130,131,2,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,589,590,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__repr__,799,800,6,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__repr__,580,581,2,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,302,303,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__repr__,494,495,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/nodes.py,__repr__,246,248,5,3,0.0,LOW,33.33,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,113,114,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__repr__,153,154,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__reversed__,561,565,2,3,0.0,LOW,40.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__setattr__,1174,1182,6,8,0.0,LOW,77.78,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__setattr__,2657,2658,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__setitem__,751,752,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__setitem__,519,530,2,9,1.0,LOW,66.67,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/utils.py,__setstate__,449,451,2,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__setstate__,2941,2946,3,4,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__setstate__,2718,2722,3,3,0.0,LOW,40.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__str__,272,273,3,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/filters.py,__str__,1170,1171,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/exceptions.py,__str__,94,95,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__str__,1025,1026,6,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/exceptions.py,__str__,108,129,4,16,2.0,LOW,45.45,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__str__,944,946,2,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,__str__,1544,1545,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/exceptions.py,__str__,49,50,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__str__,881,882,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
itsdangerous,src/itsdangerous/exc.py,__str__,19,20,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__str__,1002,1015,4,8,0.5,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_add_eq,1937,1947,2,7,0.5,LOW,54.55,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_add_hash,1814,1819,1,4,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_add_method_dunders,1190,1206,6,9,0.0,LOW,47.06,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_add_repr,2007,2015,2,6,0.5,LOW,55.56,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_funcs.py,_asdict_anything,124,194,9,20,1.2,HIGH,23.94,LOW,Hidden Risk,Write tests immediately before modifying this code; Increase coverage by adding input boundary tests
attrs,src/attr/_make.py,_assign,2211,2219,2,5,0.0,LOW,44.44,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_assign_with_converter,2222,2234,2,5,0.5,LOW,30.77,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_attrs_to_init_script,2237,2524,46,133,5.274647887323944,HIGH,40.97,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/environment.py,_buffered_generator,1631,1648,4,19,2.5,LOW,72.22,HIGH,Safe Zone,No immediate testing action required
jinja2,docs/examples/cache_extension.py,_cache_support,42,54,3,9,1.0,LOW,0.0,ZERO,Low Value,Add basic smoke tests to ensure execution paths are covered; Increase coverage by adding input boundary tests
attrs,src/attr/_cmp.py,_check_same_type,146,150,1,3,1.0,LOW,40.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_collect_base_attrs,435,463,7,19,1.75,LOW,62.07,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_collect_base_attrs_broken,466,491,4,13,1.0,LOW,46.15,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/environment.py,_compile,698,704,4,3,0.0,LOW,28.57,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/_make.py,_compile_and_eval,313,318,1,4,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_create_slots_class,867,1011,6,69,4.714285714285714,HIGH,41.38,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/compiler.py,_default_finalize,1366,1371,4,3,0.0,LOW,33.33,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/nativetypes.py,_default_finalize,56,57,3,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,_default_init_alias_for,2527,2535,1,3,0.0,LOW,22.22,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/idtracking.py,_define_ref,50,57,4,6,0.5,LOW,75.0,HIGH,Safe Zone,No immediate testing action required
